song_name,artist,genre,popularity,release_date,music_link,track_id,image
Vaate G Tu Shevgyachi Sheg,Anna Surwade,pop,0,2021-04-24,https://open.spotify.com/track/3bQH0qbJE2I4073AGFLUnm,3bQH0qbJE2I4073AGFLUnm,https://i.scdn.co/image/ab67616d0000b273a21d2fa0fd5c41425e435a6e
Where Are You Today / Gdzie Jesteś Dziś,Mieczysław Fogg,pop,0,2022-11-27,https://open.spotify.com/track/3j27Sa2tkr4cgtGlJiUoCg,3j27Sa2tkr4cgtGlJiUoCg,https://i.scdn.co/image/ab67616d0000b273bc3c9b8f1152347df18efbd0
Banni Bago Me Khilrya Phool,Raju Sen Bambor,pop,0,2023-06-05,https://open.spotify.com/track/5L526bosV3ralrx9Spaazn,5L526bosV3ralrx9Spaazn,https://i.scdn.co/image/ab67616d0000b27342e9a79ae6029d7e87822d27
Mostarski dućani,Safet Isovic,pop,13,2020-11-05,https://open.spotify.com/track/2HwQtVxQjfNUXaIpCIcI0Z,2HwQtVxQjfNUXaIpCIcI0Z,https://i.scdn.co/image/ab67616d0000b273c536cb16cf3e95a4cf8798eb
She Will Be Loved,Maroon 5,pop,3,2021-05-26,https://open.spotify.com/track/5Y7nvti5eNyzZQaBM4WKN3,5Y7nvti5eNyzZQaBM4WKN3,https://i.scdn.co/image/ab67616d0000b27308491215b1f6edd4a4710604
Suno Ji Banna,Happy Singh,pop,0,2021-09-10,https://open.spotify.com/track/5TUSQyjaMrERQ5KaFxuGxQ,5TUSQyjaMrERQ5KaFxuGxQ,https://i.scdn.co/image/ab67616d0000b273ef448370b664399f3e469fcc
Fut Gayil Ba,Bullet Raja,pop,0,2020-11-26,https://open.spotify.com/track/5XA8KxHtmhvyp3STMe1Qux,5XA8KxHtmhvyp3STMe1Qux,https://i.scdn.co/image/ab67616d0000b2737b3cac1e9e94ffea064b35d8
On My Way,Panetoz,pop,0,2023-04-19,https://open.spotify.com/track/2ns6MCuAHvL0LwxwPQ6HNd,2ns6MCuAHvL0LwxwPQ6HNd,https://i.scdn.co/image/ab67616d0000b273b757655a161825ddef813ee9
KEN RASIR TUKEL,UMAKANT BARIK,pop,1,2023-06-06,https://open.spotify.com/track/7rZNqL3LQAeTeaAb8fpKVq,7rZNqL3LQAeTeaAb8fpKVq,https://i.scdn.co/image/ab67616d0000b2732e586b41fb78a117cc83d2ef
Promiscuous,Nelly Furtado,pop,1,2023-10-11,https://open.spotify.com/track/0Y6Ws1fKQwTuJZ7qn3xqWR,0Y6Ws1fKQwTuJZ7qn3xqWR,https://i.scdn.co/image/ab67616d0000b273f312f3144a6b7802bb448de3
1970,Boris,pop,12,2023-07-06,https://open.spotify.com/track/7lBtAxWD5yWRU8EPYPRk2j,7lBtAxWD5yWRU8EPYPRk2j,https://i.scdn.co/image/ab67616d0000b273e45b6160991b146c899648f7
Anti-Hero,Taylor Swift,pop,90,2022-10-21,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,0V3wPSX9ygBnCm8psDIegu,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
Surfing,YAJICO GIRL,pop,7,2021-02-17,https://open.spotify.com/track/6qqIl3K17ONIn87OGIXC46,6qqIl3K17ONIn87OGIXC46,https://i.scdn.co/image/ab67616d0000b27394dd03ae4ae75fefa49a8509
MELODIA CRIMINAL,Fred De Palma,pop,0,2023-10-13,https://open.spotify.com/track/6yAue1ng2urK0tisuCux8G,6yAue1ng2urK0tisuCux8G,https://i.scdn.co/image/ab67616d0000b273b2f91db97eec076811d9d5de
Back It Up,Bres,pop,8,2022-03-04,https://open.spotify.com/track/571Nn0BJQmpdERgE5PsfNB,571Nn0BJQmpdERgE5PsfNB,https://i.scdn.co/image/ab67616d0000b2736e053133560d91c57b39346c
Khune Khoon Ho Gail,Tuntun Yadav,pop,0,2024-01-26,https://open.spotify.com/track/5o1QNOB5E9bUB8HOxQLYZ7,5o1QNOB5E9bUB8HOxQLYZ7,https://i.scdn.co/image/ab67616d0000b273bcb0b22072f0d039ac584bd2
With Bells On,Dolly Parton,pop,0,2023-09-12,https://open.spotify.com/track/22Lt16ibsKwXUzDOd6vC03,22Lt16ibsKwXUzDOd6vC03,https://i.scdn.co/image/ab67616d0000b2730955a3000b7dfeea4feb93ee
Jujunela,Bayar Şahin,pop,0,2021-03-23,https://open.spotify.com/track/4eHmT98Sm0NQ10ZNSRJ0g3,4eHmT98Sm0NQ10ZNSRJ0g3,https://i.scdn.co/image/ab67616d0000b273c77a74378569fec7b719ffba
Jaanua Pade Aara Mei,Tuntun Yadav,pop,0,2023-06-01,https://open.spotify.com/track/5K3nzsCNZO02AphuA5wnkg,5K3nzsCNZO02AphuA5wnkg,https://i.scdn.co/image/ab67616d0000b2734a6ab994c2598ad31134897b
Minor Victories,Julia Fordham,pop,1,2023-02-03,https://open.spotify.com/track/2NI3jlVz3p0kGndRAjoWhS,2NI3jlVz3p0kGndRAjoWhS,https://i.scdn.co/image/ab67616d0000b2738349a7bad655989c8e68260d
Cette ombre - Bossa Nova Version,Emilie Simon,pop,0,2020-09-25,https://open.spotify.com/track/4vQDXEg0xncSM530883XmU,4vQDXEg0xncSM530883XmU,https://i.scdn.co/image/ab67616d0000b2735df147e8a07fd526a59c4b15
Vì Em Chưa Bao Giờ Khóc,Hà Nhi,pop,55,2023-06-30,https://open.spotify.com/track/4CKGjLQYTZv9S1eDuUG7DG,4CKGjLQYTZv9S1eDuUG7DG,https://i.scdn.co/image/ab67616d0000b273b37cc136b8ae6c270f366d13
Waktu,Melly Goeslaw,pop,33,2020-08-28,https://open.spotify.com/track/1BGk9tNfAVs32Q9sCDIZHx,1BGk9tNfAVs32Q9sCDIZHx,https://i.scdn.co/image/ab67616d0000b273c9c92d44f225a7d911271917
Mi Dusha,Rumen Borilov,pop,6,2021-04-09,https://open.spotify.com/track/5YIYIBLU0ECwLP3JvsRyoE,5YIYIBLU0ECwLP3JvsRyoE,https://i.scdn.co/image/ab67616d0000b2734460127f8ce0ad3075354d06
Gokul Na Govaliya O Re O Shamaliya,Shital Thakor,pop,0,2022-08-23,https://open.spotify.com/track/0gyluIFapDNjvVgrrK1zAz,0gyluIFapDNjvVgrrK1zAz,https://i.scdn.co/image/ab67616d0000b273303d6fe9cf987b82d51b9d4a
Mohan Tum Aa Jaiyo,Shivani,pop,0,2023-01-10,https://open.spotify.com/track/1KpN34ShgTesdea8GwYHPe,1KpN34ShgTesdea8GwYHPe,https://i.scdn.co/image/ab67616d0000b27302cc7d9483077e842afcbcae
Pensamentos,Simone,pop,2,2022-01-28,https://open.spotify.com/track/6Cqkc5vLjlK7Y5MiM3hsNq,6Cqkc5vLjlK7Y5MiM3hsNq,https://i.scdn.co/image/ab67616d0000b273e91ba5934c244127cde45ba0
Hallöchen - Party Remix,Stereoact,pop,0,2022-08-03,https://open.spotify.com/track/6IFOnX84pxbvxTS7NaJSF8,6IFOnX84pxbvxTS7NaJSF8,https://i.scdn.co/image/ab67616d0000b2732db001a0a97b893bc4ba2769
Mjesečar (Live 2009),Opća Opasnost,pop,4,2022-12-13,https://open.spotify.com/track/6K1WPVlVIXfL0Lv8MXOoxZ,6K1WPVlVIXfL0Lv8MXOoxZ,https://i.scdn.co/image/ab67616d0000b2734fe1bf8b645196e620aeb1ae
Tafiya,Londonboykiller,pop,0,2023-07-09,https://open.spotify.com/track/0cd339m6Z18usbinlAo82Y,0cd339m6Z18usbinlAo82Y,https://i.scdn.co/image/ab67616d0000b2738c41b60a1f5e08d3a7546b46
Raat Kali Milba Aja,Sugna Bai,pop,4,2020-12-01,https://open.spotify.com/track/1Hn7Wds2ZhmABduDGowXq3,1Hn7Wds2ZhmABduDGowXq3,https://i.scdn.co/image/ab67616d0000b273bf30aa5cc381b6abd0c174bc
Jalousie,Mieczysław Fogg,pop,0,2022-12-23,https://open.spotify.com/track/6xF9WQxhCpDV285lYakB8V,6xF9WQxhCpDV285lYakB8V,https://i.scdn.co/image/ab67616d0000b273bc06afd85d397bcdfdb8730f
Musafara Khpal Watan Ta Zra Raza,Nazia Iqbal,pop,0,2022-03-11,https://open.spotify.com/track/0TFc6zV0xlLS9RjPzmHyup,0TFc6zV0xlLS9RjPzmHyup,https://i.scdn.co/image/ab67616d0000b27338cecd0ac9e0bdc0564dfa36
Không Thể Và Có Thể,Đàm Vĩnh Hưng,pop,0,2022-12-14,https://open.spotify.com/track/0mk62qz0guj1VqrCH900gA,0mk62qz0guj1VqrCH900gA,https://i.scdn.co/image/ab67616d0000b2731c61fafe22c3526b997f2f62
Yêu Là Đau Thế Này,Quang Hà,pop,0,2022-03-02,https://open.spotify.com/track/041FwGOZbqdTBnLQ7stEuy,041FwGOZbqdTBnLQ7stEuy,https://i.scdn.co/image/ab67616d0000b2734904abbc44ee0c4b6956b18f
Afto Pou Ithela - Live,Thodoris Ferris,pop,7,2023-10-22,https://open.spotify.com/track/3AevlfE7Z2inxj8xM8wkhE,3AevlfE7Z2inxj8xM8wkhE,https://i.scdn.co/image/ab67616d0000b273973ea79e0a31836817f30727
Ndera,Omega 256,pop,13,2021-11-12,https://open.spotify.com/track/2HX8JrWyMU0lx9WYmuDMIL,2HX8JrWyMU0lx9WYmuDMIL,https://i.scdn.co/image/ab67616d0000b273c9e242df02ae247a932787a0
It's Beginning To Look A Lot Like Christmas,Pentatonix,pop,0,2023-08-15,https://open.spotify.com/track/0SYbe3c3UAkW0MV3jUgmtm,0SYbe3c3UAkW0MV3jUgmtm,https://i.scdn.co/image/ab67616d0000b2732cd27809102e2b94459d7151
I Lost Myself in Loving You,Jamie Miller,pop,0,2023-05-12,https://open.spotify.com/track/56ojkwO4KXUwZLErZDgdUE,56ojkwO4KXUwZLErZDgdUE,https://i.scdn.co/image/ab67616d0000b273f3088934594b8483acfbe566
american jesus,Nessa Barrett,pop,0,2023-09-15,https://open.spotify.com/track/1LbSclFPgXkrLhR55LBuzY,1LbSclFPgXkrLhR55LBuzY,https://i.scdn.co/image/ab67616d0000b273bbd6e539c705ffcdd1c2b705
Những Vết Thương,Thái Đinh,pop,15,2020-12-12,https://open.spotify.com/track/28klZ7ohatMv8SlHgMKU4d,28klZ7ohatMv8SlHgMKU4d,https://i.scdn.co/image/ab67616d0000b2730d4146e6640f39776d9316b6
Fiel,Samuel Troc,pop,21,2022-05-19,https://open.spotify.com/track/5rWvjJULWlwyuJbVQYYPTr,5rWvjJULWlwyuJbVQYYPTr,https://i.scdn.co/image/ab67616d0000b27357f20a6170f141cd4aafe500
The Christmas Song (Chestnuts Roasting on an Open Fire),Pentatonix,pop,0,2022-09-30,https://open.spotify.com/track/3AF0YXGyHXPX7ThibLyfSq,3AF0YXGyHXPX7ThibLyfSq,https://i.scdn.co/image/ab67616d0000b273e0b4bbebae75b432a805881d
"A State of Trance (ASOT 1113) - Interview with LÜRUM, Pt. 4",Armin van Buuren,pop,2,2023-03-23,https://open.spotify.com/track/5MrbxTBuNd52IkqeSGIYqS,5MrbxTBuNd52IkqeSGIYqS,https://i.scdn.co/image/ab67616d0000b273a00a57f122e8a46491a99e1e
ひるさがり (Remaster),Minako Yoshida,pop,4,2021-06-16,https://open.spotify.com/track/1SVFyiUC6cOfKLubHO6G8I,1SVFyiUC6cOfKLubHO6G8I,https://i.scdn.co/image/ab67616d0000b273f8a6d16dc1edfa1180d9a9aa
Pool,Far Caspian,pop,47,2023-07-14,https://open.spotify.com/track/49FHYvCtxzbtvEVZqHOBHE,49FHYvCtxzbtvEVZqHOBHE,https://i.scdn.co/image/ab67616d0000b273457a53f2bd8257417fc94e68
Hungry Heart ft. Hayley Kiyoko,Steve Aoki,pop,43,2023-03-03,https://open.spotify.com/track/6JqJ2DMu7B2PddAdNAVmYy,6JqJ2DMu7B2PddAdNAVmYy,https://i.scdn.co/image/ab67616d0000b27366f3a10e6d0696289325abd1
live forever,almost monday,pop,0,2021-05-21,https://open.spotify.com/track/7kZyvQibPGXe588dvnKBu7,7kZyvQibPGXe588dvnKBu7,https://i.scdn.co/image/ab67616d0000b2736010153917b807a1962563f7
Castle on the Hill - Acoustic,Ed Sheeran,pop,0,2023-06-02,https://open.spotify.com/track/6YNapa7EXbRMigKz5YlzWC,6YNapa7EXbRMigKz5YlzWC,https://i.scdn.co/image/ab67616d0000b27327e24b091992813f06cbe7b4
i hope ur miserable until ur dead,Nessa Barrett,pop,1,2022-10-28,https://open.spotify.com/track/6QV51DMfrHr5aoOajJMHdh,6QV51DMfrHr5aoOajJMHdh,https://i.scdn.co/image/ab67616d0000b27398c2a6e8bfbabc9fea097b06
Generazione santa,Sounds Music Italia,gospel,5,2020-10-30,https://open.spotify.com/track/6fp2dqg9fVJ8uUKt3u5Y8n,6fp2dqg9fVJ8uUKt3u5Y8n,https://i.scdn.co/image/ab67616d0000b273e31c4c5855bdead0ecd34b94
Forever,GV3,gospel,29,2021-03-26,https://open.spotify.com/track/1uMEHGk1nsjDOZoCY9wvtk,1uMEHGk1nsjDOZoCY9wvtk,https://i.scdn.co/image/ab67616d0000b273a53a2d48e69d9cbae57b7c24
Memorias Que Dan Vida,Bruna Karla,gospel,4,2021-03-19,https://open.spotify.com/track/0g7xupYq3SzuFh5vR4RJFE,0g7xupYq3SzuFh5vR4RJFE,https://i.scdn.co/image/ab67616d0000b273caaefe0caa9a3236b403d6ac
End of the End of the World,Joe Mullins & The Radio Ramblers,gospel,1,2023-03-17,https://open.spotify.com/track/7l96z00VgLfdRDqewQ54G7,7l96z00VgLfdRDqewQ54G7,https://i.scdn.co/image/ab67616d0000b27309335de60d57a9ecfbec98d4
You're Holy(Prelude),Racheal,gospel,2,2023-07-01,https://open.spotify.com/track/4kXcGxAapASgoJvDrC2wUg,4kXcGxAapASgoJvDrC2wUg,https://i.scdn.co/image/ab67616d0000b2737f941b9b00d4d946c39a89e0
