song_name,artist,genre,popularity,release_date,music_link,track_id,image,duration_ms,explicit,external_urls,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Set Fire to the Rain,Adele,Pop,80,24/01/2011,https://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi,73CMRj62VK8nUS4ezD2wvi,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,242974,FALSE,https://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68E-06,0.112,0.446,107.993
Someone Like You,Adele,Pop,78,24/01/2011,https://open.spotify.com/track/1zwMYTA5nlNjZxYrvBB2pV,1zwMYTA5nlNjZxYrvBB2pV,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,285240,FALSE,https://open.spotify.com/track/1zwMYTA5nlNjZxYrvBB2pV,0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187
Rolling in the Deep,Adele,Pop,79,24/01/2011,https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk,1c8gk2PeTE04A1pIDH9YMk,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,228093,FALSE,https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948
Skyfall,Adele,Pop,85,04/10/2012,https://open.spotify.com/track/6VObnIkLVruX4UVyxWhlqm,6VObnIkLVruX4UVyxWhlqm,https://i.scdn.co/image/ab67616d0000b2732737be35cc5245eef495be90,286480,FALSE,https://open.spotify.com/track/6VObnIkLVruX4UVyxWhlqm,0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881
When We Were Young,Adele,Pop,73,20/11/2015,https://open.spotify.com/track/7GgWAITsYJaRM3r50rfh5w,7GgWAITsYJaRM3r50rfh5w,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2,290900,FALSE,https://open.spotify.com/track/7GgWAITsYJaRM3r50rfh5w,0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361
Make You Feel My Love,Adele,Pop,72,28/01/2008,https://open.spotify.com/track/5FgPwJ7Nh2FVmIXviKl2VF,5FgPwJ7Nh2FVmIXviKl2VF,https://i.scdn.co/image/ab67616d0000b273da737a3e194e3b9a46c1a6a3,212040,FALSE,https://open.spotify.com/track/5FgPwJ7Nh2FVmIXviKl2VF,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18
Love In The Dark,Adele,Pop,74,20/11/2015,https://open.spotify.com/track/7B5Npv8NjjTCzk8PLpU66h,7B5Npv8NjjTCzk8PLpU66h,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2,285935,FALSE,https://open.spotify.com/track/7B5Npv8NjjTCzk8PLpU66h,0.331,0.341,9,-6.057,0,0.0309,0.528,0,0.109,0.152,109.821
Easy On Me,Adele,Pop,80,14/10/2021,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,0gplL1WMoJ6iYaPgMCL0gX,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,224695,FALSE,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981
Chasing Pavements,Adele,Pop,70,28/01/2008,https://open.spotify.com/track/56pHllZT7QOacB0bP56ofx,56pHllZT7QOacB0bP56ofx,https://i.scdn.co/image/ab67616d0000b273da737a3e194e3b9a46c1a6a3,210507,FALSE,https://open.spotify.com/track/56pHllZT7QOacB0bP56ofx,0.616,0.47,5,-6.092,0,0.0253,0.291,0,0.111,0.325,80.03
Easy On Me,Adele,Pop,80,19/11/2021,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,46IZ0fSY2mpAiktS3KOqds,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7,224695,FALSE,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981
