song_name,artist,genre,popularity,release_date,music_link,track_id
Kiddy,ロクデナシ,pop,36,2023-08-23,https://open.spotify.com/track/0XnzXvYScKwURM2Jf4vMlT,0XnzXvYScKwURM2Jf4vMlT
朋友，你往哪里走,李谷一,pop,16,2023-12-04,https://open.spotify.com/track/23dSQX8bGDHLS8bxrRK54O,23dSQX8bGDHLS8bxrRK54O
Sakit Yang Sa Rasa x Kini Kau Pergi,DJ HarrisNugraha,pop,28,2022-04-11,https://open.spotify.com/track/0wbCLnlUghliZ0VfAQfyxX,0wbCLnlUghliZ0VfAQfyxX
"ze houdt van me, ze houdt niet van me?",kans,pop,17,2020-09-25,https://open.spotify.com/track/3dpKdqk7zKwEQrRTRG90xs,3dpKdqk7zKwEQrRTRG90xs
Bad Habits - Joel Corry Remix,Ed Sheeran,pop,1,2023-03-03,https://open.spotify.com/track/6YXiGCk3UnB6sC9qteBDwl,6YXiGCk3UnB6sC9qteBDwl
Hoa Trinh Nữ,Phương Dung,pop,5,2023-04-13,https://open.spotify.com/track/23J8dTcMVcV62ubVTcJzDi,23J8dTcMVcV62ubVTcJzDi
Amén,Ricardo Montaner,pop,43,2021-05-31,https://open.spotify.com/track/4ImiVRynIiSHsfZwBQWSC5,4ImiVRynIiSHsfZwBQWSC5
Driving Home for Christmas,Chris Rea,pop,0,2023-11-10,https://open.spotify.com/track/6RkvGHY8q8FXyyk5xR59Xp,6RkvGHY8q8FXyyk5xR59Xp
Riptide,Vance Joy,pop,1,2021-03-26,https://open.spotify.com/track/4Ms07ADgHdwM8xwlBj6A57,4Ms07ADgHdwM8xwlBj6A57
Happiness index (inst),LEEWOO,pop,4,2023-03-23,https://open.spotify.com/track/0Yocz8A23Is3T7kBH5XR6d,0Yocz8A23Is3T7kBH5XR6d
Things - Live 2019,Louis Cole,pop,16,2020-07-06,https://open.spotify.com/track/4G4CPgi86zMPphfMTQJuih,4G4CPgi86zMPphfMTQJuih
ケンカのあとは,ののちゃん(村方乃々佳),pop,20,2022-01-05,https://open.spotify.com/track/7ixKsb829bCPdzQbsFRiDL,7ixKsb829bCPdzQbsFRiDL
Sexy,Andreea Banica,pop,3,2023-03-14,https://open.spotify.com/track/3c5SCqn3WBWo90wBz72erl,3c5SCqn3WBWo90wBz72erl
Door,Joeboy,pop,29,2021-02-04,https://open.spotify.com/track/0Ad6okyKc5qGtECNQa3IFH,0Ad6okyKc5qGtECNQa3IFH
Changes,DJ Kraz,pop,31,2022-03-25,https://open.spotify.com/track/4sVXIx5UUMO5UXjmlXfze7,4sVXIx5UUMO5UXjmlXfze7
Swayamvaram - Background Score,Vishal Chandrashekhar,pop,10,2022-09-21,https://open.spotify.com/track/5eGfRLOH0FnsiHJ4Gupz4Z,5eGfRLOH0FnsiHJ4Gupz4Z
Les fleurs,Clara Luciani,pop,0,2020-07-17,https://open.spotify.com/track/1QXOL3BZjhKfwnhshVodji,1QXOL3BZjhKfwnhshVodji
Ya No Quiero Ná,Lola Indigo,pop,2,2023-05-19,https://open.spotify.com/track/1shp0oYb4zI7QdvqLEmjHE,1shp0oYb4zI7QdvqLEmjHE
Juice,Julian Jordan,pop,16,2022-05-27,https://open.spotify.com/track/3fPYaD1lvRZY1tIX0y8ySe,3fPYaD1lvRZY1tIX0y8ySe
הושע נא - Hoishanu,Beri Weber,pop,17,2020-10-04,https://open.spotify.com/track/5iukwNzHxGqwJ4AHHX7a6G,5iukwNzHxGqwJ4AHHX7a6G
Festival,Tom Misch,pop,44,2020-04-24,https://open.spotify.com/track/2lXFtsU8naRn2mC0DACJEl,2lXFtsU8naRn2mC0DACJEl
8 Letters,Why Don't We,pop,42,2021-03-12,https://open.spotify.com/track/5MhHhtDBcGqGRBdpaKaNDD,5MhHhtDBcGqGRBdpaKaNDD
Los Gitanos / A Papá Con Pega Pega - En Vivo,El Alemán,pop,16,2021-02-19,https://open.spotify.com/track/6eok5IUV3BxhnI8wup4hct,6eok5IUV3BxhnI8wup4hct
A Sky Full of Stars,Coldplay,pop,17,2021-03-19,https://open.spotify.com/track/0U39eV3ExmyLjdKhRQxx5m,0U39eV3ExmyLjdKhRQxx5m
That's Life,Michael Ball,pop,10,2022-10-28,https://open.spotify.com/track/6sdn3m3oLUXDSxUWtGKfRG,6sdn3m3oLUXDSxUWtGKfRG
Allegri,Thylacine,pop,43,2020-10-02,https://open.spotify.com/track/4gfwkR7XoKv6G5OCN8jeHC,4gfwkR7XoKv6G5OCN8jeHC
Tausyldy Mahabbat,Enendroen,pop,16,2023-12-01,https://open.spotify.com/track/23tnDIkK6pWb0gfaxPPKjC,23tnDIkK6pWb0gfaxPPKjC
Rockstar,Einár,pop,55,2020-09-28,https://open.spotify.com/track/3SgxrIzomzoZtRLeI46ts1,3SgxrIzomzoZtRLeI46ts1
bones,Sfven,pop,24,2023-01-11,https://open.spotify.com/track/3iiWBQdl6H8xtwC5i2wVFF,3iiWBQdl6H8xtwC5i2wVFF
Ночь - я твоя,Yolka,pop,2,2020-05-22,https://open.spotify.com/track/096JePYi21vPS0e1l4kIfl,096JePYi21vPS0e1l4kIfl
Nowhere Man,Logan Whitehurst & The Junior Science Club,rock,1,2021-02-24,https://open.spotify.com/track/2mrGaihi054ninfAncWYvY,2mrGaihi054ninfAncWYvY
"L'eau à la bouche - BOF ""L'eau à la bouche""",Serge Gainsbourg,rock,3,2021-02-05,https://open.spotify.com/track/7Jv1DXaOKYbvty7C8c9v9I,7Jv1DXaOKYbvty7C8c9v9I
I'm A Stranger,Davy Knowles,rock,12,2023-08-25,https://open.spotify.com/track/1utnKO2p1Yw2zqUj2UcMSP,1utnKO2p1Yw2zqUj2UcMSP
Surfin' U.S.A. - Remastered 2001,The Beach Boys,rock,0,2022-03-15,https://open.spotify.com/track/4vR9SqIXDWzeshNgFBdBGd,4vR9SqIXDWzeshNgFBdBGd
Stavi Pravu Stvar,Aerodrom,rock,1,2020-07-27,https://open.spotify.com/track/6ZR4UN0m0H7KLxow0Xm6LW,6ZR4UN0m0H7KLxow0Xm6LW
Never Make Her Sad,Romain Virgo,rock,8,2020-01-31,https://open.spotify.com/track/4CmksXyKATbnJLVmiN4mOi,4CmksXyKATbnJLVmiN4mOi
Otra Vez,Eva Carreras,rock,1,2022-09-15,https://open.spotify.com/track/7L6diANOrfcAKzzG9wca6V,7L6diANOrfcAKzzG9wca6V
Shaking Ass,Jerry Paper,rock,18,2022-04-15,https://open.spotify.com/track/2pU90pxj7FwwCH2NFxTxU0,2pU90pxj7FwwCH2NFxTxU0
Universe,OFFICIAL HIGE DANDISM,rock,39,2021-02-24,https://open.spotify.com/track/4hNYc0PKLjCqrruSI9hUHw,4hNYc0PKLjCqrruSI9hUHw
Genoa Is My Kind of Nevada Town,The Guy Who Sings Songs About Cities & Towns,rock,0,2021-08-08,https://open.spotify.com/track/2fK7J15h7xfmgSiQ1ru6Ks,2fK7J15h7xfmgSiQ1ru6Ks
You Don't Know,Winston Reedy,rock,0,2022-08-31,https://open.spotify.com/track/6OZi1vh2JUCFkQB9HQEoAo,6OZi1vh2JUCFkQB9HQEoAo
Če bi vedel,Hauptman,rock,4,2023-04-22,https://open.spotify.com/track/58n28cobLsJpOI98lS2Z8I,58n28cobLsJpOI98lS2Z8I
Accumulates,David Gray,rock,31,2021-02-19,https://open.spotify.com/track/6LTJlfSn3A5PezN2q4rQeq,6LTJlfSn3A5PezN2q4rQeq
