song_name,artist,genre,popularity,release_date,music_link,track_id,image
Set Fire to the Rain,Adele,Pop,80,2011-01-24,https://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi,73CMRj62VK8nUS4ezD2wvi,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
Someone Like You,Adele,Pop,79,2011-01-24,https://open.spotify.com/track/1zwMYTA5nlNjZxYrvBB2pV,1zwMYTA5nlNjZxYrvBB2pV,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
Skyfall,Adele,Pop,85,2012-10-04,https://open.spotify.com/track/6VObnIkLVruX4UVyxWhlqm,6VObnIkLVruX4UVyxWhlqm,https://i.scdn.co/image/ab67616d0000b2732737be35cc5245eef495be90
Rolling in the Deep,Adele,Pop,80,2011-01-24,https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk,1c8gk2PeTE04A1pIDH9YMk,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
When We Were Young,Adele,Pop,73,2015-11-20,https://open.spotify.com/track/7GgWAITsYJaRM3r50rfh5w,7GgWAITsYJaRM3r50rfh5w,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
Make You Feel My Love,Adele,Pop,73,2008-01-28,https://open.spotify.com/track/5FgPwJ7Nh2FVmIXviKl2VF,5FgPwJ7Nh2FVmIXviKl2VF,https://i.scdn.co/image/ab67616d0000b273da737a3e194e3b9a46c1a6a3
Love In The Dark,Adele,Pop,74,2015-11-20,https://open.spotify.com/track/7B5Npv8NjjTCzk8PLpU66h,7B5Npv8NjjTCzk8PLpU66h,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
Easy On Me,Adele,Pop,81,2021-10-14,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,0gplL1WMoJ6iYaPgMCL0gX,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4
Chasing Pavements,Adele,Pop,71,2008-01-28,https://open.spotify.com/track/56pHllZT7QOacB0bP56ofx,56pHllZT7QOacB0bP56ofx,https://i.scdn.co/image/ab67616d0000b273da737a3e194e3b9a46c1a6a3
Easy On Me,Adele,Pop,80,2021-11-19,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,46IZ0fSY2mpAiktS3KOqds,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
Send My Love (To Your New Lover),Adele,Pop,73,2015-11-20,https://open.spotify.com/track/0t7fVeEJxO2Xi4H2K5Svc9,0t7fVeEJxO2Xi4H2K5Svc9,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
Hello,Adele,Pop,73,2015-11-20,https://open.spotify.com/track/62PaSfnXSMyLshYJrlTuL3,62PaSfnXSMyLshYJrlTuL3,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
Water Under the Bridge,Adele,Pop,70,2015-11-20,https://open.spotify.com/track/4jL6WWKFDqCOPo2hC3VhSS,4jL6WWKFDqCOPo2hC3VhSS,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
All I Ask,Adele,Pop,69,2015-11-20,https://open.spotify.com/track/05TOt5Vz4StdjMpEdFPlvB,05TOt5Vz4StdjMpEdFPlvB,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
Oh My God,Adele,Pop,76,2021-11-19,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,3Kkjo3cT83cw09VJyrLNwX,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
Rumour Has It,Adele,Pop,67,2011-01-24,https://open.spotify.com/track/2A73XBDBQgmdXO8VsXPWIs,2A73XBDBQgmdXO8VsXPWIs,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
I Drink Wine,Adele,Pop,74,2021-11-19,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A,6v0UJD4a2FtleHeSYVX02A,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
Turning Tables,Adele,Pop,64,2011-01-24,https://open.spotify.com/track/4oy98QoABnGKpvapDkI525,4oy98QoABnGKpvapDkI525,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
Can I Get It,Adele,Pop,69,2021-11-19,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN,6w8ZPYdnGajyfPddTWdthN,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
All Night Parking (with Erroll Garner) Interlude,Adele,Pop,65,2021-11-19,https://open.spotify.com/track/496vIKS2INz840xZaKncvR,496vIKS2INz840xZaKncvR,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
